id,word,pinyin,meaning,level,created_at
0023bd55-2632-4f7b-8ce1-4479d3e386bf,除了,chúle,~외에도,3,2025-06-05 02:09:07.413227+00
00906704-d171-44cf-8e6a-411570159e01,其他,qítā,"기타, 다른 것",3,2025-06-05 02:09:07.413227+00
021ba545-596c-474e-9f94-efb1876bd3e7,感冒,gǎnmào,감기에 걸리다,3,2025-06-05 02:09:07.413227+00
0226be62-d5b0-42f8-910f-6414a4609ee6,刚才,gāngcái,"방금, 막",3,2025-06-05 02:09:07.413227+00
0253c69f-12ef-4983-98b6-9829e8593ca6,出现,chūxiàn,"출현하다, 나타나다",3,2025-06-05 02:09:07.413227+00
034fe7d6-ab24-4190-8c10-dfd7f1732b12,公园,gōngyuán,공원,3,2025-06-05 02:09:07.413227+00
04a8f142-824b-48c5-995a-909f9863f547,被,bèi,~에게 ~되다 (피동문),3,2025-06-05 02:09:07.413227+00
04deb51a-8547-443e-9ff3-110da97289b7,变化,biànhuà,변화하다,3,2025-06-05 02:09:07.413227+00
04fc6372-e670-4cbf-bafc-536e380c78df,认真,rènzhēn,"진지하다, 성실하다",3,2025-06-05 02:09:07.413227+00
052f82e2-16cb-47c8-949e-4478797da76f,表演,biǎoyǎn,"공연하다, 연기하다",3,2025-06-05 02:09:07.413227+00
0608c0e6-7529-43d2-b6ae-5c46117fada8,打算,dǎsuàn,계획하다,3,2025-06-05 02:09:07.413227+00
06586fd5-0661-4c9e-9eaf-07f92941ace7,联系,liánxì,연락하다,3,2025-06-05 02:09:07.413227+00
066f69f9-6d24-400b-b90a-03ca9f62a53c,渴,kě,목마르다,3,2025-06-05 02:09:07.413227+00
07b7bd4d-e712-4ad8-a604-496cf09811cb,带,dài,"지니다, 가져오다",3,2025-06-05 02:09:07.413227+00
0885ed8c-4aef-4f4a-8f69-976d35b6f80f,清楚,qīngchu,"분명하다, 명확하다",3,2025-06-05 02:09:07.413227+00
09010e26-03ef-4c93-9037-5f5b721cbb5b,兴趣,xìngqù,흥미,3,2025-06-05 02:09:07.413227+00
094914be-6000-4b4b-90cb-e9df444adfbe,年轻,niánqīng,젊다,3,2025-06-05 02:09:07.413227+00
0a24fe86-1df9-4995-b032-6b02dd22094f,银行,yínháng,은행,3,2025-06-05 02:09:07.413227+00
0ad5b848-1baa-4cd8-9a43-ad9a65e2eaa4,试,shì,시험 삼아 해보다,3,2025-06-05 02:09:07.413227+00
0c6cc6f2-350f-464a-a776-3fd1242b1b84,遇到,yùdào,우연히 만나다,3,2025-06-05 02:09:07.413227+00
0c7a47db-cd7e-4486-9fec-f75f2bbf594c,鸟,niǎo,새,3,2025-06-05 02:09:07.413227+00
0cc02e72-437a-4b5b-9a90-c1e95c558ef8,总是,zǒngshì,항상,3,2025-06-05 02:09:07.413227+00
0cccc994-bb68-4c46-ad80-0e19252c60a2,南,nán,남쪽,3,2025-06-05 02:09:07.413227+00
0e10e3e4-3538-402e-ba06-22930e5d91f4,提高,tígāo,향상시키다,3,2025-06-05 02:09:07.413227+00
0e1d4958-d747-4c2b-aca3-1f53034eba6d,表示,biǎoshì,"나타내다, 표시하다",3,2025-06-05 02:09:07.413227+00
0e74d2fe-dce9-4652-8c60-39b3e82efbb9,刷牙,shuāyá,이를 닦다,3,2025-06-05 02:09:07.413227+00
0ee38f08-12e2-4bed-bf50-07e28f471da4,办公室,bàngōngshì,사무실,3,2025-06-05 02:09:07.413227+00
0fb0020b-6c08-422c-bb27-53f6bd69de4f,相信,xiāngxìn,믿다,3,2025-06-05 02:09:07.413227+00
0fca2bfb-84c4-4ec0-81b8-54ca94435bfb,作用,zuòyòng,"작용, 역할",3,2025-06-05 02:09:07.413227+00
0ffdf1ec-7910-4ad9-8a7b-db749b25019d,帽子,màozi,모자,3,2025-06-05 02:09:07.413227+00
108eac1c-b879-40de-9f6d-46574236506a,城市,chéngshì,도시,3,2025-06-05 02:09:07.413227+00
113bdcff-4bd7-4dd6-bd18-51d3a0a6e4fe,太阳,tàiyáng,태양,3,2025-06-05 02:09:07.413227+00
12b173ee-e303-417a-8ee8-4005cd1985d4,元,yuán,위안 (중국 화폐 단위),3,2025-06-05 02:09:07.413227+00
131225df-da11-4356-a2d7-3f089b0a5d93,如果,rúguǒ,만약,3,2025-06-05 02:09:07.413227+00
13482ce0-5980-4f4d-bfeb-4505642933c1,只,zhǐ,"단지, 오직",3,2025-06-05 02:09:07.413227+00
13cedf62-bcf4-4922-a4d9-81e8ef8a00d2,成绩,chéngjì,성적,3,2025-06-05 02:09:07.413227+00
14142af1-2324-452d-8114-62fc63adf4e1,包,bāo,"가방, 싸다",3,2025-06-05 02:09:07.413227+00
14390dfc-92d6-4af4-8bf0-5e6c4f0fd3ad,动物,dòngwù,동물,3,2025-06-05 02:09:07.413227+00
14533121-b825-4859-853b-f81744d84130,对,duì,"~에게, ~에 대해",3,2025-06-05 02:09:07.413227+00
167a57b2-7cbd-4c8c-baa3-2dd578d25c74,东,dōng,동쪽,3,2025-06-05 02:09:07.413227+00
1857bb02-7f5b-4784-85ba-c5b610b3ae32,爱好,àihào,취미,3,2025-06-05 02:09:07.413227+00
1902c51d-1389-409b-9bd5-9e7646243a01,秋,qiū,가을,3,2025-06-05 02:09:07.413227+00
191a879c-9af2-436a-8ce8-59b96f2a1c49,主要,zhǔyào,주요한,3,2025-06-05 02:09:07.413227+00
1a29070a-81c4-4890-a328-3c9f4e4baa00,忘记,wàngjì,잊다,3,2025-06-05 02:09:07.413227+00
1b8cb17e-ab66-4e1f-86db-5802a61c697f,伞,sǎn,우산,3,2025-06-05 02:09:07.413227+00
1c2eda90-4bb3-4bf1-9098-2eba856e9d29,画,huà,그림을 그리다,3,2025-06-05 02:09:07.413227+00
1c8b1a3a-5a22-4512-af8d-cfe023816c6d,过去,guòqù,"과거, 지나가다",3,2025-06-05 02:09:07.413227+00
1d68dcef-32c8-48ca-b4a3-e0d2ee19fc4a,练习,liànxí,연습하다,3,2025-06-05 02:09:07.413227+00
1dd4511a-7288-4817-ab17-fd47460a29ed,根据,gēnjù,~에 근거하여,3,2025-06-05 02:09:07.413227+00
1eea76f2-70ad-486a-a02a-573fd22a2852,参加,cānjiā,참가하다,3,2025-06-05 02:09:07.413227+00
2127feee-0fc1-49f7-b2ab-4e0bdaf6fe0d,复习,fùxí,복습하다,3,2025-06-05 02:09:07.413227+00
22db6992-3148-4327-a5b3-d48618fbad65,见面,jiànmiàn,만나다,3,2025-06-05 02:09:07.413227+00
23354d71-9a7c-40bd-ada8-5eeff8cc5a93,电梯,diàntī,엘리베이터,3,2025-06-05 02:09:07.413227+00
239205c5-c783-4bdc-983d-8bb7ce2c7ad4,其实,qíshí,사실은,3,2025-06-05 02:09:07.413227+00
2489e061-301d-4c9a-b6ca-b0aa01d58cdf,包,bāo,"가방, 싸다",3,2025-06-05 02:09:07.413227+00
24c7e67f-63a1-416f-8116-967f84d0b032,菜单,càidān,메뉴판,3,2025-06-05 02:09:07.413227+00
26553cc4-16cd-415e-9ad4-c5fa629b843b,越,yuè,~할수록,3,2025-06-05 02:09:07.413227+00
287908ee-afc5-4072-9e5f-76231830a1b3,而且,érqiě,게다가,3,2025-06-05 02:09:07.413227+00
28e41e96-9780-430f-aa00-772e68cac2c3,熊猫,xióngmāo,판다,3,2025-06-05 02:09:07.413227+00
2945a9e8-1fe6-4112-80e7-fe55c521ac18,中文,zhōngwén,중국어,3,2025-06-05 02:09:07.413227+00
2a32b1f8-2b43-4b0d-a6af-27a122c007a7,万,wàn,만(10000),3,2025-06-05 02:09:07.413227+00
2b8df5ff-9ce9-4a53-a51f-145009c24371,把,bǎ,"~을(를) (개사), 손잡이",3,2025-06-05 02:09:07.413227+00
2c52f54f-90ab-4b12-993c-17526faaf2c7,头发,tóufa,머리카락,3,2025-06-05 02:09:07.413227+00
2c5bbddb-84a9-4aa2-8c98-ad9d3d3f8066,小心,xiǎoxīn,조심하다,3,2025-06-05 02:09:07.413227+00
2c88a2df-73f3-4791-b153-bd171dfb2d85,结束,jiéshù,끝나다,3,2025-06-05 02:09:07.413227+00
2ca150f1-e37d-4e25-bddd-683d742b508b,机会,jīhuì,기회,3,2025-06-05 02:09:07.413227+00
2de8b668-593c-4450-9d1a-5c6f4ba48432,新闻,xīnwén,뉴스,3,2025-06-05 02:09:07.413227+00
2e8494be-36c0-44e4-9648-3e99220024cd,地方,dìfang,장소,3,2025-06-05 02:09:07.413227+00
2e85f366-cd49-46d9-83d9-2b168bd357fc,安静,ānjìng,조용하다,3,2025-06-05 02:09:07.413227+00
2ecf605f-b8bd-4832-91c3-f07ad03ebac3,地铁,dìtiě,지하철,3,2025-06-05 02:09:07.413227+00
2ef97034-dbbd-4235-998a-cff3cecd4b5c,树,shù,나무,3,2025-06-05 02:09:07.413227+00
30130eea-6276-488c-9ac4-c778b152d014,一直,yìzhí,계속해서,3,2025-06-05 02:09:07.413227+00
3107adc6-ed59-42bb-8820-111388a97220,搬,bān,"옮기다, 이사하다",3,2025-06-05 02:09:07.413227+00
3392fbfc-d6ac-493d-a4cf-8cd2af50fede,差,chà,"차이가 나다, 부족하다",3,2025-06-05 02:09:07.413227+00
340689bf-c284-4570-b524-18424ccba128,一般,yìbān,일반적으로,3,2025-06-05 02:09:07.413227+00
342c7dfe-3d67-4410-a141-6e3599f74ded,照顾,zhàogù,돌보다,3,2025-06-05 02:09:07.413227+00
3591882a-bbe9-4cf4-8e38-bc1abd372da7,复习,fùxí,복습하다,3,2025-06-05 02:09:07.413227+00
3648a54f-7c6e-4bdb-81fa-e92408756ea2,口,kǒu,"입, 식구(가족 수)",3,2025-06-05 02:09:07.413227+00
3666f752-f112-4f05-8f61-eb85250e6789,体育,tǐyù,체육,3,2025-06-05 02:09:07.413227+00
37b36505-57db-4adb-82b9-6ca28c08aa02,天气预报,tiānqì yùbào,일기예보,3,2025-06-05 02:09:07.413227+00
3d1ee536-92ed-4aeb-b091-fcb690581a23,半,bàn,"절반, 반",3,2025-06-05 02:09:07.413227+00
3ed49da1-a530-4ae6-80bc-101afa552226,云,yún,구름,3,2025-06-05 02:09:07.413227+00
3fce159f-c44c-43df-b2e3-c2dc7c1b4266,还是,háishì,"여전히, 또는",3,2025-06-05 02:09:07.413227+00
416fdd02-6d7e-4655-89b4-62c79c022545,热情,rèqíng,"열정적이다, 친절하다",3,2025-06-05 02:09:07.413227+00
4365b09c-11d0-4125-b741-ee448c8d09f4,哭,kū,울다,3,2025-06-05 02:09:07.413227+00
43dc8062-1b76-40f0-80b9-9fb63c7b0475,啊,a,"감탄사 (놀람, 감탄)",3,2025-06-05 02:09:07.413227+00
450d515d-e208-41e7-b149-37bb26487659,讲,jiǎng,"말하다, 설명하다",3,2025-06-05 02:09:07.413227+00
45693965-f41c-4070-961d-c32af1646448,决定,juédìng,결정하다,3,2025-06-05 02:09:07.413227+00
45750727-7e20-48d3-9ea3-3eaef372982a,动物,dòngwù,동물,3,2025-06-05 02:09:07.413227+00
